Betano-'Paris Saint-Germain-Stade Brestois 29' ['1.44', '4.90', '6.60'] ### Smarkets-'Paris Saint-Germain - Stade Brestois 29' ['1.43', '5.8', '8.4']
Betano-'Hibernian FC-Rangers FC' ['8.25', '5.10', '1.36'] ### Smarkets-'Hibernian - Rangers' ['11.5', '6', '1.35']
Betano-'Hibernian FC-Rangers FC' ['8.00', '5.20', '1.36'] ### Smarkets-'Hibernian - Rangers' ['11.5', '6', '1.35']
Betano-'Hibernian FC-Rangers FC' ['7.70', '5.10', '1.38'] ### Smarkets-'Hibernian - Rangers' ['11', '5.8', '1.37']
Betano-'Kilmarnock FC-Hibernian FC' ['2.27', '3.20', '3.40'] ### Smarkets-'Kilmarnock - Hibernian' ['2.26', '1,000', 'ASK']
Betano-'Borussia Dortmund B-SSV Jahn Regensburg-LIVE' ['4.10', '2.50', '2.35'] ### Smarkets-'Borussia Dortmund II - SSV Jahn Regensburg' ['5', '2.28', '3.2']
Betano-'FC Ingolstadt 04-SC Preussen Münster-LIVE' ['1.95', '3.00', '4.50'] ### Smarkets-'FC Ingolstadt 04 - Preußen Münster' ['2.48', '2.9', '4.8']
Betano-'Tottenham Hotspur (Ž) - Manchester City (Ž)' ['7.80', '4.90', '1.29'] ### Smarkets-'Tottenham Hotspur - Manchester City' ['4.3', '4.7', '1.84']
Betano-'Tottenham Hotspur - Manchester City - LIVE' ['4.35', '4.20', '1.70'] ### Smarkets-'Tottenham Hotspur (W) - Manchester City (W)' ['12', '7.4', '1.36']
Betano-'Real Oviedo - CD Leganes' ['2.12', '3.00', '4.05'] ### Smarkets-'Real Oviedo - Leganés' ['2.28', '2.98', '4.7']
Betano-'FC Kodaň - Manchester City' ['9.00', '5.30', '1.33'] ### Smarkets-'FC København - Manchester City' ['13.5', '7', '1.32']
Betano-'Elgin City - Dumbarton' ['4.15', '3.55', '1.80'] ### Smarkets-'Elgin - Dumbarton' ['5.6', '4.4', '1.78']
Betano-'St Mirren FC - Rangers FC' ['10.75', '5.40', '1.30'] ### Smarkets-'St Mirren - Rangers' ['14', '6.8', '1.29']
Betano-'Burgos CF - Albacete Balompie' ['2.67', '3.05', '2.87'] ### Smarkets-'Burgos CF - Albacete Balompié' ['2.66', '3.35', '3.4']
Betano-'FC Písek - FK Dukla Praha - LIVE' ['16.50', '7.30', '1.10'] ### Smarkets-'FC Pisek - FK Dukla Praha' ['6.4', '5.9', '1.57']
Betano-'Paris Saint-Germain - Stade Brestois 29' ['1.30', '5.70', '9.25'] ### Smarkets-'Paris Saint-Germain - Stade Brestois 29' ['1.44', '5.6', '8.8']
